965690,"D.A.T.A Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
974130,"StickyBots DedicatedServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
976380,"Never Split the Party Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
983360,"Ancestors Legacy Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
985050,"Action: Source Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
988950,"Journey of Life - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
996560,"SCP: Secret Laboratory Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
996600,"Heat Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1000090,"Meal of the Worms Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1003980,"Right to Rule Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1006030,"ATLAS Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1006890,"Gunsolvers: Dedicated server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1010510,"DCB Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1012730,"九劫曲:诅咒之地 Nine Trials Test Server","unknown (No License)","unknown (No License)",false,false
1017070,"Vanguard: Normandy 1944 Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1023620,"PlayerVs Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1026340,"Barotrauma Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1035540,"Fragsurf Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1041160,"Observers","unknown (No License)","unknown (No License)",false,false
1041860,"HELL'S NEW WORLD Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1045940,"HYPERCHARGE: Unboxed Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1047650,"Road to Eden - Dedicated server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1050410,"UP Server","unknown (No License)","unknown (No License)",false,false
1054680,"Observers Demo","unknown (No License)","unknown (No License)",false,false
1061710,"CryoFall Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1064780,"Beyond The Wire - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
